code_departement,annee,type_local,pieces_cat,prix_m2_median,transactions
17,2021,Appartement,T5+,2430.169082125604,112
17,2021,Appartement,Tous,3962.264150943396,4327
17,2021,Maison,Studio,3593.478260869565,588
17,2021,Maison,T2,3090.909090909091,1339
17,2021,Maison,T3,2553.846153846154,3491
17,2021,Maison,T4,2345.762711864407,5595
17,2021,Maison,T5+,2122.905027932961,5167
17,2021,Maison,Tous,2361.785714285714,16213
17,2021,Tous,Studio,4742.1875,1621
17,2021,Tous,T2,3750.0,2945
17,2021,Tous,T3,2790.871225269004,4638
17,2021,Tous,T4,2366.6666666666665,6017
17,2021,Tous,T5+,2133.3333333333335,5279
17,2021,Tous,Tous,2612.481550428828,20540
18,2021,Appartement,Studio,3079.5535714285716,303
18,2021,Appartement,T2,1840.5895691609976,546
18,2021,Appartement,T3,1366.6666666666667,496
18,2021,Appartement,T4,1341.8036529680367,188
18,2021,Appartement,T5+,1211.7275280898875,64
18,2021,Appartement,Tous,1650.0,1600
18,2021,Maison,Studio,1142.857142857143,283
18,2021,Maison,T2,1040.313852813853,640
18,2021,Maison,T3,1166.6666666666667,1349
18,2021,Maison,T4,1253.3870967741937,1853
18,2021,Maison,T5+,1242.12715389186,1874
18,2021,Maison,Tous,1209.3023255813953,6017
18,2021,Tous,Studio,1884.8684210526317,586
18,2021,Tous,T2,1348.7043189368771,1186
18,2021,Tous,T3,1226.2181818181818,1845
18,2021,Tous,T4,1265.0602409638554,2041
18,2021,Tous,T5+,1240.8759124087592,1938
18,2021,Tous,Tous,1279.0697674418604,7617
19,2021,Appartement,Studio,3427.197802197802,280
19,2021,Appartement,T2,1703.7037037037037,535
19,2021,Appartement,T3,1513.9758179231862,506
19,2021,Appartement,T4,1291.139240506329,255
19,2021,Appartement,T5+,1333.3333333333333,87
19,2021,Appartement,Tous,1645.3125,1669
19,2021,Maison,Studio,1720.0375939849623,140
19,2021,Maison,T2,1547.6190476190477,367
19,2021,Maison,T3,1489.5021645021645,1042
19,2021,Maison,T4,1515.7,1475
19,2021,Maison,T5+,1279.0697674418604,1439
19,2021,Maison,Tous,1444.4444444444443,4478
19,2021,Tous,Studio,2500.0,420
19,2021,Tous,T2,1616.5158371040725,902
19,2021,Tous,T3,1500.0,1548
19,2021,Tous,T4,1492.857142857143,1730
19,2021,Tous,T5+,1283.5682182985552,1526
19,2021,Tous,Tous,1494.2528735632184,6147
21,2021,Appartement,Studio,3200.0,1107
21,2021,Appartement,T2,2714.285714285714,1664
21,2021,Appartement,T3,2377.0491803278687,1843
21,2021,Appartement,T4,2003.1645569620255,1090
21,2021,Appartement,T5+,2114.691541233835,342
21,2021,Appartement,Tous,2528.629976580796,6054
21,2021,Maison,Studio,1891.8918918918919,187
21,2021,Maison,T2,1538.4615384615386,419
21,2021,Maison,T3,1773.3333333333333,935
21,2021,Maison,T4,2015.5038759689924,1741
21,2021,Maison,T5+,2000.0,2690
21,2021,Maison,Tous,1948.7179487179487,5995
21,2021,Tous,Studio,3108.747044917258,1294
21,2021,Tous,T2,2593.0232558139537,2083
21,2021,Tous,T3,2242.8337428337427,2778
21,2021,Tous,T4,2011.3636363636363,2831
21,2021,Tous,T5+,2016.3693131132918,3032
21,2021,Tous,Tous,2272.7272727272725,12049
22,2021,Appartement,Studio,3870.967741935484,599
22,2021,Appartement,T2,2396.875,1176
22,2021,Appartement,T3,2116.161616161616,972
22,2021,Appartement,T4,1477.097902097902,418
22,2021,Appartement,T5+,1424.5263157894738,102
22,2021,Appartement,Tous,2253.521126760563,3270
22,2021,Maison,Studio,1733.4166666666665,608
22,2021,Maison,T2,1738.7959866220735,1238
22,2021,Maison,T3,1623.3766233766235,2972
22,2021,Maison,T4,1727.8125,4082
22,2021,Maison,T5+,1667.515906680806,6220
22,2021,Maison,Tous,1686.7469879518073,15155
22,2021,Tous,Studio,2592.5925925925926,1207
22,2021,Tous,T2,2056.5714285714284,2414
22,2021,Tous,T3,1725.0,3944
